customer_key,email,full_name,country,country_name
1,johnsonjoshua@example.org,Donald Garcia,SZ,Eswatini
2,garzaanthony@example.org,Jeffery Wagner,AR,Argentine
3,jennifermiles@example.com,Jeffrey Lawrence,AF,Afghanistan
4,helenpeterson@example.org,Jason Gallagher,CA,Canada
5,jamesmichael@example.com,Cassandra Roman,ZA,Afrique du Sud
6,yherrera@example.org,Andrea Calderon,VN,Viêt Nam
7,barbara10@example.net,Jeremy Roberts,BR,Brésil
8,michellejames@example.com,Cynthia Diaz,MN,Mongolie
9,jason41@example.net,Cynthia Ferguson,HN,Honduras
10,stevennelson@example.net,Hailey Robinson,LR,Liberia
11,perezantonio@example.com,Richard Jones,TN,Tunisie
12,jason76@example.net,Stephen Baker,HU,Hongrie
13,julie69@example.com,Michael Osborn,CU,Cuba
14,ddavis@example.org,Eric Moore,KZ,Kazakhstan
15,ycarlson@example.com,Caitlin Mcdonald,ID,Indonésie
16,frazierdanny@example.net,Karen Mack,LV,Lettonie
17,cartereric@example.org,Stephanie Liu,IN,Inde
18,williamrodriguez@example.net,Kenneth Fowler,UZ,Ouzbékistan
19,ericfarmer@example.net,Stephanie Nielsen,AD,Andorre
20,tracy15@example.com,John Allen,TN,Tunisie
21,millertodd@example.org,Tiffany Patel,CN,Chine
22,donnaarroyo@example.org,Joseph Brennan,NO,Norvège
23,sarahcampos@example.net,James Collins,SV,Salvador
24,samuel87@example.org,John Brown,AO,Angola
25,briannasmith@example.net,Crystal Perez,AU,Australie
26,chad34@example.net,Todd Ryan,RS,Serbie
27,esanchez@example.com,James Davis,NR,Nauru
28,rodney70@example.net,Denise Lucas,BH,Bahreïn
29,zchandler@example.org,John Lee,PE,Pérou
30,robertramirez@example.org,Nancy Jones,SY,Syrie
31,williamsyvette@example.org,Tanya House,GW,Guinée-Bissau
32,richardolson@example.com,Rachel Martin,AD,Andorre
33,ybaker@example.com,Justin Horton,ES,Espagne
34,smoore@example.org,Tanya Riley,SR,Suriname
35,adkinsbrian@example.net,Thomas Calhoun,SM,Saint-Marin
36,brianromero@example.org,Casey Jones,GW,Guinée-Bissau
37,kwilson@example.org,Beth Williams,BR,Brésil
38,ksandoval@example.net,Leslie Green,SV,Salvador
39,john62@example.net,Debbie Bryant,GB,Royaume-Uni
40,smithchristine@example.net,Wendy Jones,GH,Ghana
41,david51@example.org,Mike Moore,ST,Sao Tomé-et-Principe
42,cheryl80@example.net,Lisa Evans,HR,Croatie
43,mcmillandennis@example.org,Pamela Newton,DE,Allemagne
44,juan35@example.org,Grace Farrell,SD,Soudan
45,dking@example.org,Cynthia Calderon,BD,Bangladesh
46,cookdavid@example.com,Evan Ramos,MA,Maroc
47,hhoffman@example.org,Sierra Vazquez,CZ,Tchéquie
48,davenportbrandi@example.org,Russell Williams,MM,Birmanie
49,nolanjason@example.org,Elizabeth Gomez,TJ,Tadjikistan
50,vdickson@example.org,Sara Young,DK,Danemark
51,nicolejohnson@example.net,Sandra Patton,NG,Nigéria
52,josephcobb@example.org,Patrick Williams,PW,Palaos
53,jamessellers@example.com,Kevin Pope,GT,Guatemala
54,andrewlee@example.com,Joshua Jones,IT,Italie
55,darlene68@example.com,Sheila Wilson,IL,Israël
56,beverlyterrell@example.org,Daniel Hamilton,ZA,Afrique du Sud
57,samuel81@example.com,Rachel Lee,BD,Bangladesh
